음 식 명,분류,중량,에너지,탄수화물,지방,단백질,나트륨,콜레스테롤,트랜스지방
깻잎장아찌,반찬류,30,33.64,7.87,0.36,2.11,568.75,0.63,0
마늘장아찌,반찬류,30,16.06,3.07,0.02,0.79,481.75,0,0
무장아찌,반찬류,30,27.34,5.31,0.26,0.57,933.28,0,0
양념게장,반찬류,200,275.55,46.33,2.06,20.41,1747.84,134.4,0
양파장아찌,반찬류,50,19.72,3.54,0.05,0.58,423.61,0,0
오이지,반찬류,50,11.44,2.39,0.31,1.14,926,0,0
무피클,반찬류,50,17,4.19,0.05,0.4,6.6,0,0
오이피클,반찬류,50,54,14.64,0.15,0.3,333.6,0,0
단무지,반찬류,30,3.9,0.66,0.16,0.11,173.55,0,0
오징어젓갈,생선류,10,6.83,0.29,0.1,1.24,179.11,13.68,0
명란젓,생선류,10,12,0.27,0.3,2.05,353.1,35,0
생연어,생선류,100,110.29,1,1.94,20.91,213.06,60,0
생선물회,생선류,800,575.01,81.45,14.13,36.77,2986.23,0.76,0
광어회 ,생선류,100,116.2,9.34,1.36,17.2,754.4,74.96,0
훈제연어,생선류,100,169,9.34,6.16,19.28,1260.8,141.6,0
육회,육류,150,236.56,15.95,8.05,25.03,433.42,57.75,0
육사시미,육류,150,203.55,6.96,6.08,29.28,888.03,63.45,0
가래떡,디저트/빵류,100,205.04,45.05,0.33,3.52,254.68,0,0
경단,디저트/빵류,100,303.79,67.04,0.54,6.58,186.36,0,0
꿀떡,디저트/빵류,100,225.92,50.36,0.76,3.24,251.34,0,0
시루떡,디저트/빵류,100,223.62,49.03,0.28,5.5,278.95,0,0
메밀전병,디저트/빵류,100,166.14,24.82,5.5,5.79,340.66,0,0
찰떡,디저트/빵류,100,216.19,44.88,1.24,5.81,236.82,0,0
무지개떡,디저트/빵류,100,218.18,48.7,0.87,4,277.71,0,0
백설기,디저트/빵류,100,218.82,48.2,0.79,4.04,296.95,0,0
송편,디저트/빵류,100,234.9,46.82,2.7,4.17,236.55,0,0
수수부꾸미,디저트/빵류,100,258.99,46.15,5.67,5.5,270.04,0,0
수수팥떡,디저트/빵류,100,212.73,45.17,0.68,5.98,236.38,0,0
쑥떡,디저트/빵류,100,238.06,54.64,0.45,4.53,256.15,0,0
약식,디저트/빵류,100,232.21,48.88,2.27,3.83,290.64,0.16,0
인절미,디저트/빵류,100,214.46,42.55,1.76,6.4,337.74,0,0
절편,디저트/빵류,100,197.81,44.07,0.35,3.06,266.77,0,0
증편,디저트/빵류,100,198.69,44.22,0.34,2.54,259.04,0,0
찹쌀떡,디저트/빵류,100,264.74,62.08,0.23,3.41,226.38,0,0
매작과,디저트/빵류,30,121.48,19.06,3.57,2.55,31.05,0,0
다식,디저트/빵류,30,105.17,20.81,1.73,3.55,3.85,0,0
약과,디저트/빵류,30,113.85,22.18,1.24,2.57,16.46,0,0
유과,디저트/빵류,30,129.06,24.14,3.5,0.36,7.06,0,0
산자,디저트/빵류,30,121.7,24.7,1.2,0.91,8.01,0,0
깨강정,디저트/빵류,30,150.3,13.62,9.87,4.5,24.3,0,0
사과,과일/채소류,100,52,14,0.2,0.3,1,0,0
바나나,과일/채소류,100,93,23,0.3,1.1,1,0,0
코코넛,과일/채소류,100,354,15,33,3.3,20,0,0
포도,과일/채소류,100,42,11,0.1,0.8,0,0,0
오렌지,과일/채소류,100,47,12,0.1,0.9,0,0,0
석류,과일/채소류,100,82,19,1.2,1.7,3,0,0
블루베리,과일/채소류,100,57,14,0.3,0.7,1,0,0
딸기,과일/채소류,100,32,8,0.3,0.7,1,0,0
토마토,과일/채소류,100,17,3.9,0.2,0.9,5,0,0
감자,과일/채소류,100,76,17,0.1,2,6,0,0
호박,과일/채소류,100,26,7,0.1,1,1,0,0
오이,과일/채소류,100,15,3.6,0.1,0.7,2,0,0
시금치,과일/채소류,100,23,3.6,0.4,2.9,79,0,0
